Orbit number,T_mid,Uncertainty (days),Reference,,
-9.0000000000,2458766.7035720000,0.0001200000,2020Natur.585..363V,,10.3680000000
-9.0000000000,2458766.7038030000,0.0001000000,2020Natur.585..363V,,8.6400000000
-9.0000000000,2458766.7038270000,0.0001000000,2020Natur.585..363V,,8.6400000000
-4.0000000000,2458773.7432170000,0.0001000000,2020Natur.585..363V,,8.6400000000
-4.0000000000,2458773.7433210000,0.0001900000,2020Natur.585..363V,,16.4160000000
-4.0000000000,2458773.7433440000,0.0001400000,2020Natur.585..363V,,12.0960000000
0.0000000000,2458779.3750850000,0.0000020000,2020Natur.585..363V,,0.1728000000
0.0000000000,2458779.3750830000,0.0000034000,Mallonn AAS,https://iopscience.iop.org/article/10.3847/2515-5172/abd480/ampdf,0.2937600000
39.0000000000,2458834.2847880000,0.0000470000,2020Natur.585..363V,,4.0608000000
94.0000000000,2458911.7213670000,0.0000030000,2021A&A...649A.131A,,0.2592000000
138.0000000000,2458973.6707010000,0.0000630000,Alonso et al. GTC R1000B,https://arxiv.org/pdf/2103.15720,5.4432000000
143.0000000000,2458980.7103830000,0.0000080000,2021A&A...649A.131A,,0.6912000000
148.0000000000,2458987.7499180000,0.0001000000,2023MNRAS.521.4679K,,8.6400000000
150.0000000000,2458990.5659590000,0.0000060000,2021A&A...649A.131A,,0.5184000000
165.0000000000,2459011.6850570000,0.0000690000,2023MNRAS.521.4679K,,5.9616000000
167.0000000000,2459014.5009160000,0.0000070000,2021A&A...649A.131A,,0.6048000000
168.0000000000,2459015.9088550000,0.0000690000,2023MNRAS.521.4679K,,5.9616000000
168.0000000000,2459015.9088680000,0.0000021000,2021AJ....162..296X,,0.1814400000
168.0000000000,2459015.9088690000,0.0000022000,Xu et al. ,https://arxiv.org/pdf/2110.14106,0.1900800000
170.0000000000,2459018.7247830000,0.0000690000,2023MNRAS.521.4679K,,5.9616000000
175.0000000000,2459025.7644040000,0.0001400000,2023MNRAS.521.4679K,,12.0960000000
180.0000000000,2459032.8041370000,0.0000022000,2021AJ....162..296X,,0.1900800000
197.0000000000,2459056.7390490000,0.0000810000,2023MNRAS.521.4679K,,6.9984000000
200.0000000000,2459060.9629290000,0.0000018000,2021AJ....162..296X,,0.1555200000
207.0000000000,2459070.8183730000,0.0000810000,2023MNRAS.521.4679K,,6.9984000000
214.0000000000,2459080.6739910000,0.0001200000,2023MNRAS.521.4679K,,10.3680000000
217.0000000000,2459084.8978940000,0.0000024000,2021AJ....162..296X,,0.2073600000
219.0000000000,2459087.7136820000,0.0001200000,2023MNRAS.521.4679K,,10.3680000000
222.0000000000,2459091.9375910000,0.0000033000,2021AJ....162..296X,,0.2851200000
224.0000000000,2459094.7532340000,0.0001600000,2023MNRAS.521.4679K,,13.8240000000
224.0000000000,2459094.7534870000,0.0000087000,2021AJ....162..296X,,0.7516800000
229.0000000000,2459101.7931600000,0.0000018000,2021AJ....162..296X,,0.1555200000
234.0000000000,2459108.8327890000,0.0000930000,2023MNRAS.521.4679K,,8.0352000000
239.0000000000,2459115.8725570000,0.0000025000,2021AJ....162..296X,,0.2160000000
241.0000000000,2459118.6884540000,0.0000930000,2023MNRAS.521.4679K,,8.0352000000
243.0000000000,2459121.5044240000,0.0000550000,2020RNAAS...4..245M,,4.7520000000
246.0000000000,2459125.7279710000,0.0001600000,2023MNRAS.521.4679K,,13.8240000000
246.0000000000,2459125.7281290000,0.0000025000,2021AJ....162..296X,,0.2160000000
251.0000000000,2459132.7678820000,0.0001300000,2023MNRAS.521.4679K,,11.2320000000
256.0000000000,2459139.8075240000,0.0000028000,2021AJ....162..296X,,0.2419200000
258.0000000000,2459142.6233960000,0.0001300000,2023MNRAS.521.4679K,,11.2320000000
