,t,Epoch,Upper Error,Lower Error
0,2458766.703572,-9.0,0.00012,0.00012
1,2458766.703803,-9.0,0.0001,0.0001
2,2458766.703827,-9.0,0.0001,0.0001
3,2458773.743217,-4.0,0.0001,0.0001
4,2458773.743321,-4.0,0.00019,0.00019
5,2458773.743344,-4.0,0.00014,0.00014
6,2458779.375085,0.0,2e-06,2e-06
7,2458779.375083,0.0,3.4e-06,3.4e-06
8,2458834.284788,39.0,4.7e-05,4.7e-05
9,2458911.721367,94.0,3e-06,3e-06
10,2458973.670701,138.0,6.3e-05,6.3e-05
11,2458980.710383,143.0,8e-06,8e-06
12,2458987.749918,148.0,0.0001,0.0001
13,2458990.565959,150.0,6e-06,6e-06
14,2459011.685057,165.0,6.9e-05,6.9e-05
15,2459014.500916,167.0,7e-06,7e-06
16,2459015.908855,168.0,6.9e-05,6.9e-05
17,2459015.908868,168.0,2.1e-06,2.1e-06
18,2459015.908869,168.0,2.2e-06,2.2e-06
19,2459018.724783,170.0,6.9e-05,6.9e-05
20,2459025.764404,175.0,0.00014,0.00014
21,2459032.804137,180.0,2.2e-06,2.2e-06
22,2459056.739049,197.0,8.1e-05,8.1e-05
23,2459060.962929,200.0,1.8e-06,1.8e-06
24,2459070.818373,207.0,8.1e-05,8.1e-05
25,2459080.673991,214.0,0.00012,0.00012
26,2459084.897894,217.0,2.4e-06,2.4e-06
27,2459087.713682,219.0,0.00012,0.00012
28,2459091.937591,222.0,3.3e-06,3.3e-06
29,2459094.753234,224.0,0.00016,0.00016
30,2459094.753487,224.0,8.7e-06,8.7e-06
31,2459101.79316,229.0,1.8e-06,1.8e-06
32,2459108.832789,234.0,9.3e-05,9.3e-05
33,2459115.872557,239.0,2.5e-06,2.5e-06
34,2459118.688454,241.0,9.3e-05,9.3e-05
35,2459121.504424,243.0,5.5e-05,5.5e-05
36,2459125.727971,246.0,0.00016,0.00016
37,2459125.728129,246.0,2.5e-06,2.5e-06
38,2459132.767882,251.0,0.00013,0.00013
39,2459139.807524,256.0,2.8e-06,2.8e-06
40,2459142.623396,258.0,0.00013,0.00013
41,2459156.702986,268.0,0.00015,0.00015
42,2459162.33456,272.0,3.1e-05,3.1e-05
43,2459163.742446,273.0,0.0001,0.0001
44,2459166.558304,275.0,0.00015,0.00015
45,2459173.597948,280.0,0.00016,0.00016
46,2459180.637767,285.0,0.00015,0.00015
47,2459204.572674,302.0,0.00015,0.00015
48,2459672.00863772,634.0,5e-05,5e-05
49,2459733.95799593,678.0,8e-05,8e-05
50,2460157.74750903,979.0,0.00011,0.00011
51,2460171.82696477,989.0,3e-05,3e-05
52,2460444.9671498,1183.0,2e-05,2e-05
53,2460468.90209615,1200.0,3e-05,3e-05
54,2460475.94187257,1205.0,3e-05,3e-05
55,2460485.79738476,1212.0,5e-05,5e-05
56,2460492.8370868,1217.0,3e-05,3e-05
57,2460499.87682134,1222.0,2e-05,2e-05
58,2460506.91646223,1227.0,4e-05,4e-05
59,2460516.77178055,1234.0,9e-05,9e-05
60,2460530.85145297,1244.0,3e-05,3e-05
61,2460537.8911316,1249.0,3e-05,3e-05
62,2460813.84723057,1445.0,4e-05,4e-05
63,2460820.88699347,1450.0,3e-05,3e-05
64,2460834.96628431,1460.0,3e-05,3e-05
65,2460844.82190458,1467.0,3e-05,3e-05
66,2460858.90129505,1477.0,3e-05,3e-05
67,2460875.79666767,1489.0,4e-05,4e-05
68,2458683.63571901,-68.0,0.00085367,0.00077211
69,2458685.04266085,-67.0,0.00044039,0.00050467
70,2458686.4517791,-66.0,0.00057467,0.00055632
71,2458687.85867278,-65.0,0.00049707,0.0004905
72,2458689.27056794,-64.0,0.00104822,0.00097434
73,2458690.67811014,-63.0,0.00130704,0.00109985
74,2458692.0828972203,-62.0,0.00042661,0.00046357
75,2458696.30528675,-59.0,0.00061356,0.00071104
76,2458697.71519442,-58.0,0.00058717,0.00056656
77,2458699.1281438796,-57.0,0.00071472,0.00077927
78,2458700.5307425,-56.0,0.00040469,0.00041257
79,2458701.9394313903,-55.0,0.00060492,0.00057742
80,2458703.3452369096,-54.0,0.00041975,0.00050696
81,2458704.75323142,-53.0,0.00052841,0.00064555
82,2458706.16586874,-52.0,0.00077719,0.00075164
83,2458711.79360994,-48.0,0.00092508,0.0011597
84,2458713.2016736898,-47.0,0.00056257,0.00060139
85,2458714.6133674397,-46.0,0.00103178,0.0007493
86,2458716.0183637203,-45.0,0.00067957,0.0007609
87,2458717.42311955,-44.0,0.00076815,0.00096859
88,2458718.8355617803,-43.0,0.0010329,0.00083399
89,2458720.24508236,-42.0,0.00114307,0.00077895
90,2458725.87577375,-38.0,0.00097116,0.00078074
91,2458727.2836304503,-37.0,0.00077184,0.00064944
92,2458728.690334,-36.0,0.00073606,0.00072617
93,2458730.09833594,-35.0,0.00074358,0.00075023
94,2458731.5024130503,-34.0,0.0009426,0.0012209
95,2458732.91313796,-33.0,0.00059257,0.00066649
96,2458734.32254931,-32.0,0.0009139,0.00083833
97,2458817.39212802,27.0,0.00086088,0.00069312
98,2458818.79674464,28.0,0.00056383,0.00071794
99,2458820.20827718,29.0,0.0011203,0.0007156
100,2458821.61249684,30.0,0.00067226,0.00083752
101,2458823.02357093,31.0,0.00085068,0.00074405
102,2458824.43008997,32.0,0.00090322,0.00082183
103,2458825.8407014897,33.0,0.00087806,0.00072538
104,2458827.24561891,34.0,0.00083079,0.0007666
105,2458830.06052288,36.0,0.00051455,0.00061812
106,2458831.4740318903,37.0,0.00148538,0.00142826
107,2458832.8800871503,38.0,0.0009652,0.00077001
108,2458834.28460641,39.0,0.00051805,0.00056208
109,2458835.69345363,40.0,0.00067073,0.00075122
110,2458837.1007988397,41.0,0.0005822,0.00058061
111,2458838.508164,42.0,0.00062948,0.00077758
112,2458839.91790816,43.0,0.00095146,0.00083976
113,2458900.45764131,86.0,0.00070161,0.00087492
114,2458901.86862465,87.0,0.00179374,0.00098345
115,2458903.2738325703,88.0,0.00060446,0.00065758
116,2458904.6825993396,89.0,0.00079823,0.00072725
117,2458906.08707221,90.0,0.00082232,0.00113171
118,2458907.49675151,91.0,0.00063132,0.00072286
119,2458908.90691826,92.0,0.00069821,0.00060557
120,2458910.31612578,93.0,0.00117578,0.00081691
121,2458911.72223192,94.0,0.00072226,0.00067506
122,2458915.94360094,97.0,0.00076354,0.00102358
123,2458917.35438545,98.0,0.00066073,0.00064678
124,2458918.7629254498,99.0,0.00087615,0.00064065
125,2458920.17083304,100.0,0.00066027,0.00059906
