Orbit number,T_mid,Uncertainty (days),Reference,,
-9,2458766.7035720000,0.00012,2020Natur.585..363V,,10.368
-9,2458766.7038030000,0.0001,2020Natur.585..363V,,8.64
-9,2458766.7038270000,0.0001,2020Natur.585..363V,,8.64
-4,2458773.7432170000,0.0001,2020Natur.585..363V,,8.64
-4,2458773.7433210000,0.00019,2020Natur.585..363V,,16.416
-4,2458773.7433440000,0.00014,2020Natur.585..363V,,12.096
0,2458779.3750850000,0.000002,2020Natur.585..363V,,0.1728
0,2458779.3750830000,0.0000034,Mallonn AAS,https://iopscience.iop.org/article/10.3847/2515-5172/abd480/ampdf,0.29376
39,2458834.2847880000,0.000047,2020Natur.585..363V,,4.0608
94,2458911.7213670000,0.000003,2021A&A...649A.131A,,0.2592
138,2458973.6707010000,0.000063,Alonso et al. GTC R1000B,https://arxiv.org/pdf/2103.15720,5.4432
143,2458980.7103830000,0.000008,2021A&A...649A.131A,,0.6912
148,2458987.7499180000,0.0001,2023MNRAS.521.4679K,,8.64
150,2458990.5659590000,0.000006,2021A&A...649A.131A,,0.5184
165,2459011.6850570000,0.000069,2023MNRAS.521.4679K,,5.9616
167,2459014.5009160000,0.000007,2021A&A...649A.131A,,0.6048
168,2459015.9088550000,0.000069,2023MNRAS.521.4679K,,5.9616
168,2459015.9088680000,0.0000021,2021AJ....162..296X,,0.18144
168,2459015.9088690000,0.0000022,Xu et al. ,https://arxiv.org/pdf/2110.14106,0.19008
170,2459018.7247830000,0.000069,2023MNRAS.521.4679K,,5.9616
175,2459025.7644040000,0.00014,2023MNRAS.521.4679K,,12.096
180,2459032.8041370000,0.0000022,2021AJ....162..296X,,0.19008
197,2459056.7390490000,0.000081,2023MNRAS.521.4679K,,6.9984
200,2459060.9629290000,0.0000018,2021AJ....162..296X,,0.15552
207,2459070.8183730000,0.000081,2023MNRAS.521.4679K,,6.9984
214,2459080.6739910000,0.00012,2023MNRAS.521.4679K,,10.368
217,2459084.8978940000,0.0000024,2021AJ....162..296X,,0.20736
219,2459087.7136820000,0.00012,2023MNRAS.521.4679K,,10.368
222,2459091.9375910000,0.0000033,2021AJ....162..296X,,0.28512
224,2459094.7532340000,0.00016,2023MNRAS.521.4679K,,13.824
224,2459094.7534870000,0.0000087,2021AJ....162..296X,,0.75168
229,2459101.7931600000,0.0000018,2021AJ....162..296X,,0.15552
234,2459108.8327890000,0.000093,2023MNRAS.521.4679K,,8.0352
239,2459115.8725570000,0.0000025,2021AJ....162..296X,,0.216
241,2459118.6884540000,0.000093,2023MNRAS.521.4679K,,8.0352
243,2459121.5044240000,0.000055,2020RNAAS...4..245M,,4.752
246,2459125.7279710000,0.00016,2023MNRAS.521.4679K,,13.824
246,2459125.7281290000,0.0000025,2021AJ....162..296X,,0.216
251,2459132.7678820000,0.00013,2023MNRAS.521.4679K,,11.232
256,2459139.8075240000,0.0000028,2021AJ....162..296X,,0.24192
258,2459142.6233960000,0.00013,2023MNRAS.521.4679K,,11.232
268,2459156.7029860000,0.00015,2023MNRAS.521.4679K,,12.96
272,2459162.3345600000,0.000031,2020RNAAS...4..245M,,2.6784
273,2459163.7424460000,0.0001,2023MNRAS.521.4679K,,8.64
275,2459166.5583040000,0.00015,2023MNRAS.521.4679K,,12.96
280,2459173.5979480000,0.00016,2023MNRAS.521.4679K,,13.824
285,2459180.6377670000,0.00015,2023MNRAS.521.4679K,,12.96
302,2459204.5726740000,0.00015,2023MNRAS.521.4679K,,12.96
634,2459672.0085940000,0.000065,This Work,,5.616
678,2459733.9581050000,0.000084,This Work,,7.2576
979,2460157.7475000000,0.00011,Nickel 07/31/23,,12.096
989,2460171.8269600000,0.00003,Nickel 08/14/23,,2.592
1183,2460444.9671700000,0.00002,Nickel 05/13/24,,1.728
1200,2460468.9020900000,0.00002,Nickel 06/06/24,,1.728
1205,2460475.9418700000,0.00003,Nickel 06/13/24,,2.592
1212,2460485.7973500000,0.00004,Nickel 06/23/24,,3.456
1217,2460492.8370700000,0.00002,Nickel 06/30/24,,1.728
1222,2460499.8768000000,0.00002,Nickel 07/07/24,,1.728
1227,2460506.9164800000,0.00005,Nickel 07/14/24,,3.456
1234,2460516.7718800000,0.00007,Nickel 07/24/24,,6.048
1244,2460530.8514400000,0.00002,Nickel 08/07/24,,1.728
1249,2460537.8911200000,0.00003,Nickel 08/14/24,,
1445,2460813.8472400000,0.00004,Nickel 05/17/2025,,
1450,2460820.8869900000,0.00003,Nickel 05/24/2025,,
1460,2460834.9662800000,0.00003,Nickel 06/07/2025,,
1467,2460844.8219000000,0.00003,Nickel 06/17/2025,,
1477,2460858.9012900000,0.00003,Nickel 07/01/2025,,
